MasterYear,spill_cnt,spill_sum,spill_sum_gal,spill_avg,spill_med
2009,66,6036,253512,91.45454545454545454545454545,15
2010,77,21362,897204,277.4285714285714285714285714,23
2011,70,13823,580566,197.4714285714285714285714286,20
2012,109,11137,467754,102.1743119266055045871559633,24
2013,107,11674,490308,109.1028037383177570093457944,28
2014,114,7982,335244,70.01754385964912280701754386,20
2015,80,7106,298452,88.825,17
2016,46,11964,502488,260.0869565217391304347826087,25
2017,4,5032,211344,1258,14
