MasterYear,FormNumber,District,OperatorNumber,DateofLoss,Type_Company_Cd,County,LeaseNumber,Gasident,CommNbr,TypeLiquid,GrossLoss,Recovered,NetLoss,Facility,CauseofLoss,Remedy,Corrected_Report,Water,WaterName,Location,Remarks,LeaseName,FieldNumber,Into_Water,Unique_ID,GrossLossGal
2012,711,08,RANGE PRODUCTION COMPANY,2012-10-18,Producer,GLASSCOCK,33525,0,0,Crude,86,0,86,Tank Battery,Equipment Failure,Other,,,,"SEC.4, BLK 35, T3S, TPRR CO. SURVEY",SOIL REMEDIATION PALN IN PROGRESS.,POWELL -4- A,COBRA (WOLFCAMP),False,60404,3612
2012,714,08,"SANDRIDGE EXPL. AND PROD., LLC",2012-10-18,Producer,ECTOR,37943,0,0,Crude,33,30,3,Tank Battery,Equipment Failure,Other,,,,SEC.32 BLK. 44 SURVEY A-784,SOIL REMEDIATION PLAN IN PROGRESS.,GOLDSMITH ADOBE UNIT,GOLDSMITH (CLEAR FORK),False,60407,1386
2012,750,08,WHITING OIL AND GAS CORPORATION,2012-10-18,Producer,WARD,7275,0,0,Crude,20,0,20,Flow Line,Equipment Failure,Other,,,,"SEC.22, BLOCK 34, SURVEY H&TC RR CO.",SOIL EXCAVATED AND FRESH SOIL USED AS BACKFILL.,"JOHNSON, -B-","WARD, SOUTH",False,60443,840
2012,732,10,APACHE CORPORATION,2012-10-18,Producer,WHEELER,0,246132,0,Crude,240,25,215,Tank Battery,Corrosion - Rust,Other,,,,"SEC.5, BLK L, LINDSEY",SOIL REMEDIATION PLAN IN PROGRESS.,SALLIE,STILES RANCH (GRANITE WASH CONS),False,60425,10080
2012,923,7C,APPROACH OPERATING LLC,2012-10-18,Producer,CROCKETT,17407,0,0,Crude,15,10,5,Tank Battery,Equipment Failure,Other,,,,"BLOCK 45, SECTION 14",SOIL REMEDIATION PLAN IN PROGRESS,UNIVERSITY 45 A,HOLT RANCH (CONSOLIDATED),False,60615,630
2012,733,10,APACHE CORPORATION,2012-10-17,Producer,WHEELER,0,240947,0,Crude,13,10,3,Tank Battery,Equipment Failure,Other,,,,"SEC.18, BLK A3, H&GN",SOIL REMEDIATION PLAN IN PROGRESS.,STILES 18,STILES RANCH (GRANITE WASH CONS),False,60426,546
2012,1068,01,"EOG RESOURCES, INC.",2012-10-17,Producer,MCMULLEN,16277,0,0,Crude,13,12,1,Tank Battery,Company Human Error,Other,,,,"COLSTON, J SURVEY, ABS. 163",EXCAVATED SOIL AND REMEDIATION COMPLETE.,LOWE PASTURE,EAGLEVILLE (EAGLE FORD-1),False,60756,546
2012,1103,03,"DENBURY ONSHORE, LLC",2012-10-17,Producer,FORT BEND,4154,0,0,Products,70,70,0,Flow Line,Corrosion - Rust,Other,,Other,DRAINDITCH,1/4 MI. S OF GEORGE RD. W OF THE MAIN CANAL,REPAIRED LINE & FLUSHED FLUIDS FROM UPSTREAM.REMEDIATION A SUCCESS,"DAVIS, J.H.P.","THOMPSON, SOUTH",False,60791,2940
2012,1260,01,CHALKER OPERATING INC.,2012-10-17,Producer,BASTROP,7975,0,0,Combined,40,40,0,Tank Battery,Corrosion - Rust,Other,,,,JOSEHP ADAIR A-77,LIQUID VACUUM OUT AND DISPOSED.,ALEXANDER,BATEMAN (AUSTIN CHALK),False,60943,1680
2012,859,7C,"ASPEN OPERATING COMPANY, L.L.C.",2012-10-17,Producer,CROCKETT,1137,0,0,Crude,8,5,3,Flow Line,Equipment Failure,Other,,,,SHANNON 0-35,VACUUM TRUCK AND GANG OUT TO CLEAN UP.,"SHANNON, M. A., EST. -O-",OLSON,False,60552,336
2012,705,08,"SOUTHERN UNION GAS SERVICES, LTD",2012-10-15,Other,WARD,0,0,0,Crude,7,0,7,Pipe Line,Company Human Error,Other,,,,"GPS N31 DEG.31.280' W103 DEG. 12.625' (WEST OF PYOTE, TX)",SOIL REMEDIATION PLAN IN PROGRESS.,"PARKS, ROY ""C""",NO FIELD NAME,False,60398,294
2012,1101,03,"DENBURY ONSHORE, LLC",2012-10-15,Producer,FORT BEND,4103,0,0,Products,325,325,0,Flow Line,Corrosion - Rust,Other,,,,"1/4MI.NOF CATTELPEN RD.100'W OF THE MAIN CANAL SAMUEL KENNEDY,A-44",LINE REPAIRED. BERMS CONT. WATER.REMEDIATION PLAN SUCCESSFUL.,"GUBBELS, F. ETAL",THOMPSON,False,60789,13650
2012,691,08,"DCP MIDSTREAM, LP",2012-10-14,Other,GLASSCOCK,0,0,0,Crude,7,0,7,Tank Battery,Equipment Failure,Other,,,,WEST CREDO BOOSTER STATION.,REMEDIATION PLAN IN PROGRESS.,YELLOWHOUSE UNIT,NO FIELD NAME,False,60384,294
2012,720,7B,"PIONEER NATURAL RES. USA, INC.",2012-10-14,Producer,PARKER,0,249876,0,Crude,136,135,1,Tank Battery,Act of God,Other,,,,LAT/LONG.= 32.6298N/ -97.8539W,LIGHTNING STRIKE. SOIL REMEDIATED. WAITING FOR TEST RESULTS.,"SELLERS ""63""",NO FIELD NAME,False,60413,5712
2012,1242,08,"CROWNQUEST OPERATING, LLC",2012-10-14,Producer,HOWARD,43743,0,0,Crude,27,26,1,Tank Battery,Equipment Failure,Other,,,,"2169'FSL &467 FWL', SEC.17, BLK. 34, T&P RR CO SURVEY",VACUUMED FREE FLUID AND REMEDIATED AREA.,PARKS 17,SPRABERRY (TREND AREA),False,60926,1134
2012,735,7C,"PIONEER NATURAL RES. USA, INC.",2012-10-14,Producer,UPTON,17101,0,0,Crude,100,85,15,Tank Battery,Equipment Failure,Other,,,,"N 31 26.117', W 101 59.817'",VACUUM FREE FLUID AND REMEDIATED AREA.,XBC GIDDINGS ESTATE B,SPRABERRY (TREND AREA),False,60428,4200
2012,1267,7C,APPROACH OPERATING LLC,2012-10-13,Producer,CROCKETT,17662,0,0,Crude,30,25,5,Flow Line,Equipment Failure,Other,,,,"BLK 45, SEC 9","EXCAVATE SOIL, MIX WITH CLEAN SOIL, BIO REMEDIATE",UNIVERSITY 45,HOLT RANCH (CONSOLIDATED),False,60950,1260
2012,712,8A,"RANGER 40 PETROLEUM, LLC",2012-10-12,Producer,YOAKUM,63490,0,0,Crude,100,70,30,Tank Battery,Act of God,Other,,,,SEC.426 BLOCK D JHON H GIBSON SURVEY,LIGHTNING STRIKE. VACUUMED FREE FLUID.,CALDWELL,BRAHANEY,False,60405,4200
2012,778,7C,TOPAT OIL CORPORATION,2012-10-12,Producer,TOM GREEN,15475,0,0,Crude,136,124,12,Tank Battery,Equipment Failure,Other,,,,BRYANT BATTERY,VACUUMED FREE FLUID AND REMEDIATION PLAN IN PROGRESS.,BRYANT,KENKER (REEF),False,60471,5712
2012,682,08,ENDEAVOR ENERGY RESOURCES L.P.,2012-10-12,Producer,MARTIN,37860,0,0,Crude,50,0,50,Flow Line,Equipment Failure,Other,,,,FM 1212& CR 2600 E TO CR 2801 N FOR 3/10MI. TO SPILL ON W OF RD.,REMEDIATION PLAN IN PROGRESS.,"EILAND ""34""",SPRABERRY (TREND AREA),False,60375,2100
2012,823,10,TAYLOR-CLAYTON-HAWLEY,2012-10-12,Producer,GRAY,621,0,0,Crude,142,0,142,Tank Battery,Act of God,Other,,,,"SEC.79, BLOCK B-2, H&GN RR SURVEY",LIGHTNING STRIKE. BATTERIES REPLACED AND AREA CLEARED.,"TAYLOR, W. H. -A-",PANHANDLE GRAY COUNTY FIELD,False,60516,5964
2012,757,08,"PIONEER NATURAL RES. USA, INC.",2012-10-12,Producer,MIDLAND,18551,0,0,Crude,15,0,15,Tank Battery,Equipment Failure,Other,,,,PRESTON SPRABERRY UNIT 42B GPS: 31.710931 -101.818440,TANK REMOVED AND REPAIRED. SOIL REMEDIATION SUCCESSFUL.,PRESTON SPRABERRY UNIT,SPRABERRY (TREND AREA),False,60450,630
2012,701,06,"CARRIZO OIL & GAS, INC.",2012-10-11,Producer,ANDERSON,14401,0,0,Crude,30,20,10,Flow Line,Corrosion - Rust,Other,,,,SECT. BLK. -M. ROGERS,VACUUMED FREE FLUID AND REMEDIATED AREA.,ROYAL,CAMP HILL,False,60394,1260
